text,label
em được làm fan cứng luôn rồi nè reaction quá hay quá cute coi mấy giờ này quá hợp lí,non_toxic
đúng là bọn mắt híp lò xo thụt bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái l,toxic
đậu văn cường giờ giống thằng sida hơn à,non_toxic
côn đồ cục súc vô nhân tính đề nghi vn. nhà nước vn ban thưởng.,toxic
từ lý thuyết đến thực hành là cả 1 câu chuyện dài,non_toxic
coronavirus is manmade,non_toxic
đố chúng m nhận ra ai,non_toxic
lúp lúp như chó .,toxic
"thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt! d",toxic
"được anh ưi, lâu rồi không nghe phúc du rap",non_toxic
cắt cho trẻ trâu bớt thui mà,non_toxic
nghe rất vô lí nhưng cực kì thuyết phục,non_toxic
"chán ghê hong có pé 2 mới máu được, hâhha",non_toxic
sao t gửi được bây,non_toxic
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được v,non_toxic
loại này cho dựa cột thôi chứ độ thế nào,toxic
thuong wa di,non_toxic
dạy bơi cho cá. bơi thì đương nhiên nó bơi được vì nó là cá. làm sao cho nó sống được mới là điều người dân đang quan tâm.,toxic
ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,toxic
bamtp chạy ngay ddi,non_toxic
cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,non_toxic
"dàn táo năm nay làm chương trình táo quân vi hành nhé mn, phát sóng 9h tối 23 tết trên vtv3",non_toxic
thật chán với chế độ quản lý dân sinh,toxic
đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,non_toxic
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",non_toxic
sống chậm lại các mày ?,non_toxic
chương trình quảng cáo xin được bắt đầu,non_toxic
nguyễn hữu nhân đớp cả của cháu. thứ mắc dạy,toxic
nhậu cái chửi chúng mày lũ chó hại dân hại nước,toxic
thế vinh yasbaga tối cao,non_toxic
mài có óc để suy nghĩ không add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,toxic
chuẩn,non_toxic
chỉ 3 vàng ngọc như con heo nọc nhà e,toxic
phải thầy không ta,non_toxic
cảnh sát chính tả comingg nè,non_toxic
xuân đương tới nghĩa là xuân đương qua,non_toxic
nhìn chúng nó cmt mà đắng bạn à,non_toxic
ý thức còn ít hơn cả số tiền trong túi t,toxic
em yêu anh từ thuở tóc dài,non_toxic
theo chân mấy anh hàn quốc rồi,non_toxic
