text,label
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],CLEAN
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),HATE
Đậu Văn Cường giờ giống thằng sida hơn à,CLEAN
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,HATE
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),CLEAN
Coronavirus is manmade,CLEAN
Đố chúng m nhận ra ai,CLEAN
Lúp lúp như chó .,OFFENSIVE
🥰🥰🥰,CLEAN
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",HATE
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣",CLEAN
Cắt cho trẻ trâu bớt thui mà 😂😂😂,CLEAN
Nghe rất vô lí nhưng cực kì thuyết phục,CLEAN
"chán ghê hong có pé 2 mới máu được, hâhha",CLEAN
Sao t gửi đc bây,CLEAN
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,CLEAN
Loại này cho dựa cột thôi chứ độ thế nào,HATE
Thuong wa di,CLEAN
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,OFFENSIVE
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,HATE
Bamtp chạy ngay ddi:)),CLEAN
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,CLEAN
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",CLEAN
Thật chán với chế độ quản lý dân sinh,HATE
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,CLEAN
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",CLEAN
Sống chậm lại các mày ?,CLEAN
Chương trình quảng cáo xin đc bắt đầu,CLEAN
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,HATE
Nhậu cái đm chúng mày lũ chó hại dân hại nước,HATE
Thế Vinh Yasbaga tối cao,CLEAN
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,HATE
chuẩn,CLEAN
Chỉ 3 vàng ngọc như con heo nọc nhà e,HATE
phải thầy k ta,CLEAN
Cảnh sát chính tả comingg nè :)),CLEAN
Xuân đương tới nghĩa là xuân đương qua,CLEAN
Nhìn chúng nó cmt mà đắng bạn à =))))))),CLEAN
Ý thức còn ít hơn cả số tiền trong túi t,OFFENSIVE
Em yêu anh từ thuở tóc dài,CLEAN
theo chân mấy anh hàn quốc rồi :,CLEAN
"Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",CLEAN
Mệt quá thầy ạ 😞,CLEAN
Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),CLEAN
chị Hôm nay đẹp quá,CLEAN
Xem r nè,CLEAN
Việt Tiến nghèo là rõ 🤦,CLEAN
xxx video 🔞,OFFENSIVE
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),HATE
Anh ba láo nháo là Tú xiên giờ,HATE
Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,CLEAN
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,CLEAN
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",HATE
Cuối cùng anh đã trở lại. Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình( nội dung mang tính giải trí. Ko có ý anti hay ghét ai),CLEAN
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,HATE
Vừa tăng lương phát biết ngay,CLEAN
Ai là cảm tình diên like,CLEAN
Xin tộc trưởng hãy cho Hiếu lợn thần ra trận! Đảm bảo sẽ có chiến thắng,CLEAN
Đấu khẩu - Chim lợn 👍,OFFENSIVE
Cai miệng nói không sợ bị hậu quả,OFFENSIVE
4 năm rồi à,CLEAN
Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa.🤣,CLEAN
Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),CLEAN
Khắc Thành Nguyễn phục cái máu lồn,HATE
Quan va. Dan nhu nhau phai ton trong phap luat. Khong thuen vi mot ai?,CLEAN
Chúc abe 20-10 vui vẻ,CLEAN
ko vào thì lấy đâu ra vốn vay FDI cho các anh đút túi ?,CLEAN
Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp:)),CLEAN
B52 If J97,CLEAN
